OrijinalIsim,DuzenlenmisFirmaAdi,VKN,Cari_Kod
SİMTEK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SİMTEK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞTİ.,7700040283,
"KLATOVSKÁ NEMOCNİCE, A.S.,""KLATOVSKÁ NEMOCNİCE, A.Ş. ."",,"
KUZEY KIBRIS TÜRK CUMHURİYETİ METROLOJİ VE ÜRÜN GÜVENLİĞİ LABORATUVARI,KUZEY KİBRİS TÜRK CUMHURİYETİ METROLOJİ VE ÜRÜN GÜVENLİĞİ LABORATUVARİ,,
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,,
ARIA OTOMASYON MÜHENDİSLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,ARIA OTOMASYON MÜHENDİSLİK SANAYİ VE TİCARET LİMİTED ŞTİ.,7810926001,
HAVADAN YÖRESİ MADENCİLİK ANONİM ŞİRKETİ,HAVADAN YÖRESİ MADENCİLİK ANONİM ŞTİ.,4590037130,
ALTIUM INTERNATIONAL INC. / US,ALTİUM İNTERNATİONAL INC. / US,,
AZƏRBAYCAN RESPUBLİKASI SƏHİYYƏ NAZİRLİYİ,AZƏRBAYCAN RESPUBLİKASİ SƏHİYYƏ NAZİRLİYİ,,
ONALTİS İNŞAAT MALZEMELERİ TİCARET LİMİTED ŞİRKETİ,ONALTİS İNŞAAT MALZEMELERİ TİCARET LİMİTED ŞTİ.,6420671006,
SAĞLAMOĞLU RAFİNERİ ANONİM ŞİRKETİ,SAĞLAMOĞLU RAFİNERİ ANONİM ŞTİ.,7381261324,
TRENTTO PARTNERS DIŞ TİC. LTD. ŞTİ.,TRENTTO PARTNERS DIŞ TİC. LTD. . ŞTİ..,8591501856,
AKDENIZ ÜNIVERSITESI,AKDENİZ ÜNİVERSİTESİ,,
İMTEK İLERİ MALZEMELERİ VE TEKNOLOJİLERİ A.Ş,İMTEK İLERİ MALZEMELERİ VE TEKNOLOJİLERİ A.Ş,,
AKSARAY ORGANİZE SAN. BÖLGE MÜDÜRLÜĞÜ,AKSARAY ORGANİZE SAN. BÖLGE MÜDÜRLÜĞÜ,0340031575,120.01-003552
DOLAB LABORATUVAR TEKNOLOJİLERİ PROJELENDİRME VE DANIŞMANLIK HİZMETLERİ SANAYİ VE TİCARET LTD.ŞTİ.,DOLAB LABORATUVAR TEKNOLOJİLERİ PROJELENDİRME VE DANIŞMANLIK HİZMETLERİ SANAYİ VE TİCARET LTD. ŞTİ..,3101469336,120.01-003365
BİOLİGO BİYOTEKNOLOJİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,BİOLİGO BİYOTEKNOLOJİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET ANONİM ŞTİ.,1760978880,120.01-003654
ANKARA TAVUKÇULUK ARAŞTIRMA ENSTİTÜSÜ,ANKARA TAVUKÇULUK ARAŞTIRMA ENSTİTÜSÜ,,120.01-003701
MATEK MEDİKAL,MATEK MEDİKAL,,
MEDEKKO TECHNOLOGIES DMCC,MEDEKKO TECHNOLOGİES DMCC,1111111111,120.02-000087
MINISTRY OF HEALTH AND MEDICAL INDUSTRY OF TURKMENISTAN,MİNİSTRY OF HEALTH AND MEDİCAL İNDUSTRY OF TURKMENİSTAN,,120.02-000088
AZARBAYCAN STANDARTLAŞDIRMA İNSTİTUTU,AZARBAYCAN STANDARTLAŞDİRMA İNSTİTUTU,,120.02-000159
MTA BİOTECH,MTA BİOTECH,,
HAMAD MEDICAL CORPORATION INTERIM TRANSLATIONAL RESEARCH INSTITUTE (ITRI),HAMAD MEDİCAL CORPORATİON İNTERİM TRANSLATİONAL RESEARCH İNSTİTUTE (İTRİ),,120.02-000091
ÖZÇAMLICA MEDİKAL ÜRÜNLERİ İNŞ.GIDA.TİC.LTD.ŞTİ,ÖZÇAMLİCA MEDİKAL ÜRÜNLERİ İNŞ.GİDA.TİC. LTD. ŞTİ.,,
BABİL LABORATUVAR HİZMETLERİ İTHALAT İHRACAT SAN. VE TİC. LTD. ŞTİ.,BABİL LABORATUVAR HİZMETLERİ İTHALAT İHRACAT SAN. VE TİC. LTD. . ŞTİ..,1281042292,120.01-002956
ÖNCÜ ZEYTİNCİLİK GIDA SAN. VE TİC. A.Ş. AKHİSAR ŞUBESİ,ÖNCÜ ZEYTİNCİLİK GIDA SAN. VE TİC. A.Ş. AKHİSAR ŞUBESİ,6560326654,120.01-002901
KARAKAYA KURUYEMİŞ GIDA TARIM ÜRÜNLERİ İNŞ. TAAH. TURZ. TEKS SAN VE TİC .LTD.ŞTİ,KARAKAYA KURUYEMİŞ GIDA TARIM ÜRÜNLERİ İNŞ. TAAH. TURZ. TEKS SAN VE TİC . LTD. ŞTİ.,5140061310,120.01-002902
VİŞNE MADENCILIK ÜRETIM SANAYI VE TICARET A.Ş.,VİŞNE MADENCİLİK ÜRETİM SANAYİ VE TİCARET A.Ş.,,120.01-002996
ELİTE PETFOOD YEM SANAYİ VE TİCARET ANONİM ŞİRKETİ,ELİTE PETFOOD YEM SANAYİ VE TİCARET ANONİM ŞTİ.,3321473990,120.01-003705
AYJ DEĞERLİ TAŞLAR TEST VE DEĞERLEME ANONİM ŞİRKETİ,AYJ DEĞERLİ TAŞLAR TEST VE DEĞERLEME ANONİM ŞTİ.,1211081450,
MANİSA MERKEZ EFENDİ DEVLET HASTANESİ DÖNER SERMAYE,MANİSA MERKEZ EFENDİ DEVLET HASTANESİ DÖNER SERMAYE,6121315715,120.01-003025
EKİN PATOLOJİ LABORATUARLARI TİCARET LİMİTED ŞİRKETİ,EKİN PATOLOJİ LABORATUARLARİ TİCARET LİMİTED ŞTİ.,3280042630,120.01-003010
VORE LOJİSTİK İNŞAAT PETROKİMYA A.Ş.,VORE LOJİSTİK İNŞAAT PETROKİMYA A.Ş.,5660593881,120.01-002808
DR. ZİYA GÜN İSTANBUL ÜNİVERSİTESİNE YARDIM VAKFI,DR. ZİYA GÜN İSTANBUL ÜNİVERSİTESİNE YARDİM VAKFI,3130022612,120.01-003702
EGE ÜNİVERSİTESİ REKTÖRLÜĞÜ DÖNER SERMAYE İŞLETMESİ MÜDÜRLÜĞÜ,EGE ÜNİVERSİTESİ REKTÖRLÜĞÜ DÖNER SERMAYE İŞLETMESİ MÜDÜRLÜĞÜ,3251074691,120.01-002826
NADİR GROUP DIŞ TİCARET LİMİTED ŞİRKETİ,NADİR GROUP DIŞ TİCARET LİMİTED ŞTİ.,6271555921,
DEMİRSAN SOĞUK ÇEKME SANAYI VE TİCARET ANONİM ŞİRKETİ,DEMİRSAN SOĞUK ÇEKME SANAYİ VE TİCARET ANONİM ŞTİ.,2890015372,
SOFCON GROUP,SOFCON GROUP,,
MARC CHANTAL,MARC CHANTAL,,
HAİER,HAİER,,
GENESUZ LABORATUVAR ARAŞTIRMA ÜRÜNLERİ LİMİTED ŞİRKETİ,GENESUZ LABORATUVAR ARAŞTIRMA ÜRÜNLERİ LİMİTED ŞTİ.,3941187761,120.01-002923
BMCOLOR MATBAA MÜREKKEPLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,BMCOLOR MATBAA MÜREKKEPLERİ SANAYİ VE TİCARET ANONİM ŞTİ.,1781712755,120.01-002929
AKAROM ESANS KİMYA GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,AKAROM ESANS KİMYA GIDA SANAYİ VE TİCARET LİMİTED ŞTİ.,,
AURAN KOZMETİK,AURAN KOZMETİK,,
NOBİS SCİENTİFİC İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,NOBİS SCİENTİFİC İLAÇ SANAYİ VE TİCARET ANONİM ŞTİ.,6311031123,120.01-003704
SOZIO ESANS SANAYİ VE TİCARET LİMİTED ŞİRKETİ,SOZIO ESANS SANAYİ VE TİCARET LİMİTED ŞTİ.,7770938378,120.01-003035
AVŞAR MÜH. MÜŞ. İNŞ. TİC. LTD. ŞTI.,AVŞAR MÜH. MÜŞ. İNŞ. TİC. LTD. . ŞTİ..,,
TUNFER ENDÜSTRİ TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,TUNFER ENDÜSTRİ TEKNOLOJİ SANAYİ VE DIŞ TİCARET LİMİTED ŞTİ.,8671053596,120.01-002953
LIMITED LIABILITY PARTNERSHIP ELEROM,LİMİTED LİABİLİTY PARTNERSHİP ELEROM,,120.02-000152
KROMASİS KATAFOREZ KAPLAMA SİSTEMLERİ VE YAN SANAYİ TİCARET A.Ş.,KROMASİS KATAFOREZ KAPLAMA SİSTEMLERİ VE YAN SANAYİ TİCARET A.Ş.,5900977471,
KROM,KROM,,
BCG TURKEY KİMYA ANONİM ŞİRKETİ,BCG TURKEY KİMYA ANONİM ŞTİ.,1601776527,
ÇATALAĞZI TERMİK ENERJI ÜRETIM A.Ş,ÇATALAĞZİ TERMİK ENERJİ ÜRETİM A.Ş,,
SUPERSOL BİYOTEKNOLOJİ ANONİM ŞİRKETİ İZMİR ŞUBESİ,SUPERSOL BİYOTEKNOLOJİ ANONİM ŞTİ. İZMİR ŞUBESİ,7840569264,120.01-002681
LSMU KAUNO KLINIKOS,LSMU KAUNO KLİNİKOS,,120.02-000073
HAYAT AĞACI DIŞ TİCARET NAKLİYAT VE İNŞAAT LTD.ŞTİ.,HAYAT AĞACI DIŞ TİCARET NAKLİYAT VE İNŞAAT LTD. ŞTİ..,4601088624,120.01-002687
ARDEN YEM SANAYİ ARAŞTIRMA DENEY TİCARET LİMİTED ŞİRKETİ,ARDEN YEM SANAYİ ARAŞTIRMA DENEY TİCARET LİMİTED ŞTİ.,,
CETAŞ KUYUMCULUK İMALAT İHRACAT İTHALAT VE DAHİLİ TİCARET LİMİTED ŞİRKETİ,CETAŞ KUYUMCULUK İMALAT İHRACAT İTHALAT VE DAHİLİ TİCARET LİMİTED ŞTİ.,2060079246,120.01-002694
GOLD HARVEST KURUYEMİŞ GIDA VE TARIM ÜRÜNLERİ SAN. VE TİC. A.Ş.,GOLD HARVEST KURUYEMİŞ GIDA VE TARIM ÜRÜNLERİ SAN. VE TİC. A.Ş.,3961131730,120.01-002701
GÜNO PAZARLAMA REKLAMCILIK TURİZM SANAYİ VE TİCARET ANONİM ŞİRKETİ,GÜNO PAZARLAMA REKLAMCİLİK TURİZM SANAYİ VE TİCARET ANONİM ŞTİ.,,
PLASCAM PLASTİK OTO CAM SANAYİ VE TİCARET ANONİM ŞİRKETİ,PLASCAM PLASTİK OTO CAM SANAYİ VE TİCARET ANONİM ŞTİ.,7300042864,120.01-002703
AMPHENOL TURKEY BAĞLANTI ÇÖZÜMLERİ LTD.ŞTİ.,AMPHENOL TURKEY BAĞLANTİ ÇÖZÜMLERİ LTD. ŞTİ..,0691491950,
ARTEK MÜHENDİSLİK ÇEVRE ÖLÇÜM VE DANIŞMANLIK HİZMETLERİ TİC. A.Ş. ADANA ŞUBESİ,ARTEK MÜHENDİSLİK ÇEVRE ÖLÇÜM VE DANIŞMANLIK HİZMETLERİ TİC. A.Ş. ADANA ŞUBESİ,0850393448,120.01-002903
TÜRKİYE RAYLI SİSTEM ARAÇLARI SANAYİ A.Ş. ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,TÜRKİYE RAYLI SİSTEM ARAÇLARI SANAYİ A.Ş. ESKİŞEHİR BÖLGE MÜDÜRLÜĞÜ,8791201260,120.01-002909
TURTAŞ İTHALAT VE İHRACAT ANONİM ŞİRKETİ,TURTAŞ İTHALAT VE İHRACAT ANONİM ŞTİ.,8720626696,120.01-002912
KIBRIS GİRNE ASKERİ HASTANESİ,KİBRİS GİRNE ASKERİ HASTANESİ,,120.01-002992
ÖZGÖRKEY HOLDİNG,ÖZGÖRKEY HOLDİNG,,
ATATÜRK SANATORYUM EGITIM VE ARASTIRMA HASTANESI.,ATATÜRK SANATORYUM EĞİTİM VE ARAŞTIRMA HASTANESİ.,,
BURSA GENETIC DIASES HEALTY CENTER,BURSA GENETİC DİASES HEALTY CENTER,,
ONDOKUZ MAYIS ÜNIVERSITESI TIP FAKÜLTESI,ONDOKUZ MAYIS ÜNİVERSİTESİ TIP FAKÜLTESİ,,
IDH INTEGRATED DİAGNOSTICS HOLDINGS,IDH İNTEGRATED DİAGNOSTİCS HOLDİNGS,,120.02-000111
WOLF GROUP TURKEY YAPI MALZEMELERİ DAĞITIM VE TİCARET LİMİTED ŞİRKETİ,WOLF GROUP TURKEY YAPI MALZEMELERİ DAĞITIM VE TİCARET LİMİTED ŞTİ.,8141031802,
ALMİLA FARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞİRKETİ,ALMİLA FARMA İLAÇ SANAYİ VE TİCARET ANONİM ŞTİ.,0552200277,
MERSİN ÜNIVERSITESI TIP FAKÜLTESI TIBBI FARMAKOLOJI ANABILIM DALI,MERSİN ÜNİVERSİTESİ TIP FAKÜLTESİ TIBBI FARMAKOLOJİ ANABİLİM DALI,,
IPG PHOTONİCS EURASİA LAZER ÜRÜNLERİ SATIŞ VE SERVİS HİZMETLERİ LİMİTED ŞİRKETİ,IPG PHOTONİCS EURASİA LAZER ÜRÜNLERİ SATIŞ VE SERVİS HİZMETLERİ LİMİTED ŞTİ.,4650381132,120.01-003014
ÇORUM HİTİT ÜNİVERSİTESİ EĞİTİM ARAŞTIRMA HASTANESİ,ÇORUM HİTİT ÜNİVERSİTESİ EĞİTİM ARAŞTIRMA HASTANESİ,,
KARAKAYA 86 KATOFOREZ KAPLAMA SANAYİ TİCARET A.Ş.,KARAKAYA 86 KATOFOREZ KAPLAMA SANAYİ TİCARET A.Ş.,5141330037,120.01-003020
ÖZKİMSAN KİMYA TAŞIMACILIK MADEN İNŞAAT MAKİNE ORMAN ÜRÜNLERİ DIŞ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,ÖZKİMSAN KİMYA TAŞIMACILIK MADEN İNŞAAT MAKİNE ORMAN ÜRÜNLERİ DIŞ TİCARET VE SANAYİ LİMİTED ŞTİ.,7000026292,120.01-003023
TICARA INTERNATIONAL TRADERS & CONSULTANTS,TİCARA İNTERNATİONAL TRADERS & CONSULTANTS,,
AZERBAYCAN ÇALIŞMA BAKANLIĞI,AZERBAYCAN ÇALIŞMA BAKANLİĞİ,,
EGE ÜNİVERSİTESİ MERKEZİ ARAŞTIRMA TEST VE ANALİZ LAB. UYGULAMA VE ARAŞTIRMA MERKEZİ,EGE ÜNİVERSİTESİ MERKEZİ ARAŞTIRMA TEST VE ANALİZ LAB. UYGULAMA VE ARAŞTIRMA MERKEZİ,3251075023,
CURELINE IST TIP ARAŞTIRMALARI LTD. ŞTİ.,CURELİNE IST TIP ARAŞTİRMALARİ LTD. . ŞTİ..,2161362002,
KLAS ISITMA SOĞUTMA KLİMA SANAYI VE TICARET A.Ş.,KLAS İSİTMA SOĞUTMA KLİMA SANAYİ VE TİCARET A.Ş.,,
SÖNMEZ POLİMER KİMYA SAN. TİC. A.Ş.,SÖNMEZ POLİMER KİMYA SAN. TİC. A.Ş.,,
BEA MOUNTAİN MINING INCORPORATED,BEA MOUNTAİN MİNİNG İNCORPORATED,,
CINBAR OTOMOTİV SANAYİ TAAHHÜT VE TİCARET LİMİTED ŞİRKETİ,CİNBAR OTOMOTİV SANAYİ TAAHHÜT VE TİCARET LİMİTED ŞTİ.,2090488432,120.01-003344
YILDIRIM ELEKTRONİK TİCARET VE SANAYİ ANONİM ŞİRKETİ,YİLDİRİM ELEKTRONİK TİCARET VE SANAYİ ANONİM ŞTİ.,9601331626,120.01-002976
SEMERKANT ULUSLARARASI TEKNOLOJİ ÜNİVERSİTESİ,SEMERKANT ULUSLARARASİ TEKNOLOJİ ÜNİVERSİTESİ,,
DKS DÜNYA KALİBRASYON SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,DKS DÜNYA KALİBRASYON SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞTİ.,3020483900,
KULALAC LABORATARIAS,KULALAC LABORATARİAS,,
ATAFEN VETERİNER MALZEMELERİ HAYVANCILIK PAZ. SAN.A.Ş.,ATAFEN VETERİNER MALZEMELERİ HAYVANCILIK PAZ. SAN.A.Ş.,,
EMEK DOĞAL SAĞLIK ÜRÜNLERİ İKLİMLENDİRME GIDA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EMEK DOĞAL SAĞLIK ÜRÜNLERİ İKLİMLENDİRME GIDA İNŞAAT SANAYİ VE TİCARET LİMİTED ŞTİ.,3330720075,
TARI ÖZEL SAĞLIK HİZMETLERİ LİMİTED ŞİRKETİ,TARI ÖZEL SAĞLIK HİZMETLERİ LİMİTED ŞTİ.,8240313796,
HATAP YEM SANAYİ VE TİCARET ANONİM ŞİRKETİ,HATAP YEM SANAYİ VE TİCARET ANONİM ŞTİ.,4590328455,
UNİLABOR KIMYA SAN İÇ DIŞ TIC. LTD. ŞTI.,UNİLABOR KİMYA SAN İÇ DIŞ TIC. LTD. . ŞTİ..,,
ATC GRUP ULUSLARARASI NAKLİYAT VE TİC. LTD. ŞTİ.,ATC GRUP ULUSLARARASİ NAKLİYAT VE TİC. LTD. . ŞTİ..,,
TEZ GEN LABORATUVAR SİSTEMLERİ İÇ VE DIŞ TİC. LTD. ŞTİ.,TEZ GEN LABORATUVAR SİSTEMLERİ İÇ VE DIŞ TİC. LTD. . ŞTİ..,,
DURU DİAGNOSTİK TİCARET ANONİM ŞİRKETİ,DURU DİAGNOSTİK TİCARET ANONİM ŞTİ.,3190425145,
EFC TRANSFER MAKİNA VE MEDİKAL SANAYİ TİCARET ANONİM ŞİRKETİ,EFC TRANSFER MAKİNA VE MEDİKAL SANAYİ TİCARET ANONİM ŞTİ.,3241077154,120.01-002589
MİLLİ ONKOLOGİYA MERKEZİ,MİLLİ ONKOLOGİYA MERKEZİ,1401555071,120.02-000072
ONUR KİMYA İLAÇ SANAYİ VE DIŞ TİCARET LİMİTED ŞİRKETİ,ONUR KİMYA İLAÇ SANAYİ VE DIŞ TİCARET LİMİTED ŞTİ.,6430365474,120.01-002759
TRUSTLİFE VENTURES LAB SAĞLIK TEKNOLOJİLERİ ANONİM ŞİRKETİ,TRUSTLİFE VENTURES LAB SAĞLIK TEKNOLOJİLERİ ANONİM ŞTİ.,4610962396,120.01-002600
BEYPAZARI İÇECEK PAZARLAMA DAĞITIM AMBALAJ TURİZM PETROL İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,BEYPAZARİ İÇECEK PAZARLAMA DAĞITIM AMBALAJ TURİZM PETROL İNŞAAT SANAYİ VE TİCARET ANONİM ŞTİ.,1680495999,120.01-002614
SANTE LABORATUVAR SİSTEMLERİ PAZARLAMA SAN. VE TİC. LTD. ŞTİ.,SANTE LABORATUVAR SİSTEMLERİ PAZARLAMA SAN. VE TİC. LTD. . ŞTİ..,7440815975,
"JAGİELLONIAN UNIVERSITY, MEDICAL COLLEGE, DEPARTMENT OF CLINICAL BIOCHEMISTRY,""JAGİELLONİAN UNİVERSİTY, MEDİCAL COLLEGE, DEPARTMENT OF CLİNİCAL BİOCHEMİSTRY"",,120.02-000089"
GIDA GÜVENLİĞI DERNEĞI,GIDA GÜVENLİĞİ DERNEĞİ,,
MİLA ÜNİVERSİTESİ,MİLA ÜNİVERSİTESİ,,
ALEKS METAL RAFİNERİ A.Ş,ALEKS METAL RAFİNERİ A.Ş,,
ONTROL TEKNİK MALZEME SANAYİ VE TİCARET ANONİM ŞİRKETİ,ONTROL TEKNİK MALZEME SANAYİ VE TİCARET ANONİM ŞTİ.,6430028840,120.01-003029
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ GELİŞTİRME VAKFI,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ GELİŞTİRME VAKFI,,
NUKLEUS SAĞLIK HİZMETLERİ ANONİM ŞİRKET,NUKLEUS SAĞLIK HİZMETLERİ ANONİM ŞTİ.,6321498351,120.01-003000
SAPİENS GENETİK VE SAĞLIK HİZMETLERİ ANONİM ŞİRKETİ,SAPİENS GENETİK VE SAĞLIK HİZMETLERİ ANONİM ŞTİ.,7441007069,
3E ELEKTRO OPTİK SİSTEMLER SANAYİ VE TİCARET ANONİM ŞİRKETİ,3E ELEKTRO OPTİK SİSTEMLER SANAYİ VE TİCARET ANONİM ŞTİ.,0012724784,
TTC GLOBAL TÜTÜN MAMÜLLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,TTC GLOBAL TÜTÜN MAMÜLLERİ SANAYİ VE TİCARET ANONİM ŞTİ.,8100705062,120.01-003057
PİKOLİTRE KİMYA SANAYİ VE DIŞ TİCARET ANONİM ŞİRKETİ,PİKOLİTRE KİMYA SANAYİ VE DIŞ TİCARET ANONİM ŞTİ.,7290576662,
FIRMAM51,FİRMAM51,,
FIRMAM54,FİRMAM54,,
H.A.K BAY GIDA AMBALAJ VE KİMYEVİ MADDELER İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,H.A.K BAY GIDA AMBALAJ VE KİMYEVİ MADDELER İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞTİ.,4540543554,
KAS PLASTİK SANAYİ VE TİCARET ANONİM ŞİRKETİ,KAS PLASTİK SANAYİ VE TİCARET ANONİM ŞTİ.,5270430051,
DEMAN LOJİSTİK VE DIŞ TİCARET LİMİTED ŞİRKETİ,DEMAN LOJİSTİK VE DIŞ TİCARET LİMİTED ŞTİ.,2741913570,
EPOZEM ZEMİN TEKNOLOJİLERİ VE YAPI KİMYASALLARI İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,EPOZEM ZEMİN TEKNOLOJİLERİ VE YAPI KİMYASALLARİ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞTİ.,3360559882,120.01-002658
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ TEKNOLOJİ TRANSFER OFİSİ ANONİM ŞİRKETİ,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ TEKNOLOJİ TRANSFER OFİSİ ANONİM ŞTİ.,7390870448,120.01-002365
ANTİKOR SAĞLIK MEDİKAL VE LABORATUVAR HİZMETLERİ TİCARET LTD.ŞTİ.,ANTİKOR SAĞLIK MEDİKAL VE LABORATUVAR HİZMETLERİ TİCARET LTD. ŞTİ..,0701140184,120.01-002367
GÜRTAT BESİCİLİK GIDA SAN.VE TİC.A.Ş.,GÜRTAT BESİCİLİK GIDA SAN.VE TİC.A.Ş.,,
SCHWEGLER SOLİDE CARBİDE TOOLS MAKİNE TAKIM SAN.VE TİC.LTD.ŞTİ.,SCHWEGLER SOLİDE CARBİDE TOOLS MAKİNE TAKIM SAN.VE TİC. LTD. ŞTİ..,7570327314,120.01-002388
ŞAFAK ÖRME SAN.VE TİC.A.Ş.,ŞAFAK ÖRME SAN.VE TİC.A.Ş.,7890554315,120.01-002428
CORDSTRAP İSTANBUL ENDÜSTRİYEL AMBALAJ SANAYİ VE TİCARET A.Ş.,CORDSTRAP İSTANBUL ENDÜSTRİYEL AMBALAJ SANAYİ VE TİCARET A.Ş.,7320746280,120.01-002297
VİTROTEK MEDİKAL PAZARLAMA SAN.TİC.LTD.ŞTİ.,VİTROTEK MEDİKAL PAZARLAMA SAN.TİC. LTD. ŞTİ..,7330304436,120.01-002522
EVA BİYOTEKNOLOJİ İÇ VE DIŞ TİCARET LİMİTED ŞİRKETİ,EVA BİYOTEKNOLOJİ İÇ VE DIŞ TİCARET LİMİTED ŞTİ.,3811071117,120.01-002312
DOLEKS DOĞAL KAUÇUK ÜRÜNLERİ İMALAT SAN. VE TİC.A.Ş. KIRKLARELİ ORGANİZE SANAYİ BÖLGESİ ŞUBESİ,DOLEKS DOĞAL KAUÇUK ÜRÜNLERİ İMALAT SAN. VE TİC.A.Ş. KİRKLARELİ ORGANİZE SANAYİ BÖLGESİ ŞUBESİ,3101211478,120.01-002469
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ STRATEJİ GELİŞTİRME DAİRE BAŞKANLIĞI,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ STRATEJİ GELİŞTİRME DAİRE BAŞKANLİĞİ,9260037640,120.01-003004
PEK FOOD,PEK FOOD,,
ANDOR MİMARLIK MÜHENDİSLİK İNŞAAT LİMİTED ŞİRKETİ,ANDOR MİMARLIK MÜHENDİSLİK İNŞAAT LİMİTED ŞTİ.,0691516730,
İBER KİMYA MAK. TEKS. HAYV. TARIM ÜRÜNLERI SAN. VE. TICARETI LTD. ŞTI.,İBER KİMYA MAK. TEKS. HAYV. TARIM ÜRÜNLERİ SAN. VE. TİCARETİ LTD. . ŞTİ..,,
